"region","kjønn","alder","yrke","Lønnstakere 2018"
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","7 Håndverkere",3309
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",2361
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1761
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","1 Ledere",235
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",415
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",300
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",112
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",438
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",11
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","7 Håndverkere",188
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",97
"0111 Hvaler (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",73
"0118 Aremark (-2019)","Begge kjønn","15-74 år","1 Ledere",33
"0118 Aremark (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",79
"0118 Aremark (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",72
"0118 Aremark (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",34
"0118 Aremark (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",129
"0118 Aremark (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",11
"0118 Aremark (-2019)","Begge kjønn","15-74 år","7 Håndverkere",56
"0118 Aremark (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",103
"0118 Aremark (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",43
"0119 Marker (-2019)","Begge kjønn","15-74 år","1 Ledere",108
"0119 Marker (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",219
"0119 Marker (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",216
"0119 Marker (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",125
"0119 Marker (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",342
"0119 Marker (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",15
"0119 Marker (-2019)","Begge kjønn","15-74 år","7 Håndverkere",176
"0119 Marker (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",167
"0119 Marker (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",103
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","1 Ledere",22
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",46
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",36
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",28
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",79
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",5
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","7 Håndverkere",28
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",44
"0121 Rømskog (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",16
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","1 Ledere",181
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",357
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",290
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",202
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",589
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",44
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","7 Håndverkere",321
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",202
"0122 Trøgstad (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",174
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","1 Ledere",243
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",512
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",412
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",265
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",654
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",17
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","7 Håndverkere",283
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",180
"0123 Spydeberg (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",145
"0124 Askim (-2019)","Begge kjønn","15-74 år","1 Ledere",572
"0124 Askim (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1208
"0124 Askim (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",983
"0124 Askim (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",699
"0124 Askim (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1741
"0124 Askim (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",47
"0124 Askim (-2019)","Begge kjønn","15-74 år","7 Håndverkere",611
"0124 Askim (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",530
"0124 Askim (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",433
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","1 Ledere",331
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",767
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",595
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",386
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1233
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",62
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","7 Håndverkere",606
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",509
"0125 Eidsberg (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",396
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","1 Ledere",105
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",249
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",246
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",158
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",425
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",30
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","7 Håndverkere",258
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",122
"0127 Skiptvet (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",141
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","1 Ledere",237
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",502
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",408
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",256
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",817
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",54
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","7 Håndverkere",408
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",568
"0128 Rakkestad (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",218
"0135 Råde (-2019)","Begge kjønn","15-74 år","1 Ledere",297
"0135 Råde (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",667
"0135 Råde (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",522
"0135 Råde (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",263
"0135 Råde (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",764
"0135 Råde (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",32
"0135 Råde (-2019)","Begge kjønn","15-74 år","7 Håndverkere",365
"0135 Råde (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",260
"0135 Råde (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",209
"0136 Rygge (-2019)","Begge kjønn","15-74 år","1 Ledere",705
"0136 Rygge (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1551
"0136 Rygge (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1252
"0136 Rygge (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",626
"0136 Rygge (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1807
"0136 Rygge (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",46
"0136 Rygge (-2019)","Begge kjønn","15-74 år","7 Håndverkere",599
"0136 Rygge (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",387
"0136 Rygge (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",341
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","1 Ledere",211
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",501
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",413
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",241
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",584
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",27
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","7 Håndverkere",306
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",216
"0137 Våler (Østfold) (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",162
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","1 Ledere",228
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",522
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",396
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",275
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",649
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",13
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","7 Håndverkere",321
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",179
"0138 Hobøl (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",175
"0211 Vestby (-2019)","Begge kjønn","15-74 år","1 Ledere",863
"0211 Vestby (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2086
"0211 Vestby (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1374
"0211 Vestby (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",861
"0211 Vestby (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1854
"0211 Vestby (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",25
"0211 Vestby (-2019)","Begge kjønn","15-74 år","7 Håndverkere",573
"0211 Vestby (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",340
"0211 Vestby (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",303
"0213 Ski (-2019)","Begge kjønn","15-74 år","1 Ledere",1533
"0213 Ski (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3959
"0213 Ski (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2722
"0213 Ski (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1545
"0213 Ski (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2907
"0213 Ski (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",37
"0213 Ski (-2019)","Begge kjønn","15-74 år","7 Håndverkere",983
"0213 Ski (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",505
"0213 Ski (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",516
"0214 Ås (-2019)","Begge kjønn","15-74 år","1 Ledere",940
"0214 Ås (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2889
"0214 Ås (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1507
"0214 Ås (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",749
"0214 Ås (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2063
"0214 Ås (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",44
"0214 Ås (-2019)","Begge kjønn","15-74 år","7 Håndverkere",700
"0214 Ås (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",302
"0214 Ås (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",490
"0215 Frogn (-2019)","Begge kjønn","15-74 år","1 Ledere",1029
"0215 Frogn (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1969
"0215 Frogn (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1287
"0215 Frogn (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",533
"0215 Frogn (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1558
"0215 Frogn (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",41
"0215 Frogn (-2019)","Begge kjønn","15-74 år","7 Håndverkere",437
"0215 Frogn (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",202
"0215 Frogn (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",252
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","1 Ledere",1007
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3140
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1423
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",512
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1857
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",55
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","7 Håndverkere",507
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",181
"0216 Nesodden (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",345
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","1 Ledere",1829
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",4156
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2486
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1143
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2085
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",25
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","7 Håndverkere",579
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",287
"0217 Oppegård (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",374
"0219 Bærum (-2019)","Begge kjønn","15-74 år","1 Ledere",8981
"0219 Bærum (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",20591
"0219 Bærum (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",11551
"0219 Bærum (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",3466
"0219 Bærum (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",10038
"0219 Bærum (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",107
"0219 Bærum (-2019)","Begge kjønn","15-74 år","7 Håndverkere",2725
"0219 Bærum (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1193
"0219 Bærum (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1944
"0220 Asker (-2019)","Begge kjønn","15-74 år","1 Ledere",4113
"0220 Asker (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",9237
"0220 Asker (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",5532
"0220 Asker (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1840
"0220 Asker (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",5312
"0220 Asker (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",84
"0220 Asker (-2019)","Begge kjønn","15-74 år","7 Håndverkere",1333
"0220 Asker (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",543
"0220 Asker (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",966
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","1 Ledere",611
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1228
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1049
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",722
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1798
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",51
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","7 Håndverkere",941
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",684
"0221 Aurskog-Høland (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",447
"0226 Sørum (-2019)","Begge kjønn","15-74 år","1 Ledere",896
"0226 Sørum (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2067
"0226 Sørum (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1622
"0226 Sørum (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",894
"0226 Sørum (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1758
"0226 Sørum (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",62
"0226 Sørum (-2019)","Begge kjønn","15-74 år","7 Håndverkere",821
"0226 Sørum (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",433
"0226 Sørum (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",440
"0227 Fet (-2019)","Begge kjønn","15-74 år","1 Ledere",599
"0227 Fet (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1362
"0227 Fet (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1110
"0227 Fet (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",543
"0227 Fet (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1140
"0227 Fet (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",24
"0227 Fet (-2019)","Begge kjønn","15-74 år","7 Håndverkere",612
"0227 Fet (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",262
"0227 Fet (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",276
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","1 Ledere",926
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2229
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1617
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",967
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1846
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",11
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","7 Håndverkere",752
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",327
"0228 Rælingen (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",433
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","1 Ledere",485
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",896
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",879
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",549
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1246
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",37
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","7 Håndverkere",599
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",312
"0229 Enebakk (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",257
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","1 Ledere",2027
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",5014
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",3654
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",2024
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",3883
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",29
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","7 Håndverkere",1475
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",692
"0230 Lørenskog (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",935
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","1 Ledere",2739
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",6575
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",4966
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",2860
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",5831
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",38
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","7 Håndverkere",2090
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1048
"0231 Skedsmo (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1281
"0233 Nittedal (-2019)","Begge kjønn","15-74 år","1 Ledere",1278
"0233 Nittedal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3192
"0233 Nittedal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2232
"0233 Nittedal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1107
"0233 Nittedal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2322
